# p3.01-p3.31 and p6.01-p6.28 read with key_v6.md (tokens from final_v5_p3/p6; relabels: `n .` p3.19 -> Y_DOT, `<` -> `<.` p3.16/p3.31, `ll` -> ll_BAR p6.10/p6.18; key refinements in key_v6_p36_notes.md). Format: line | corrected tokens || reading ([?n] unread, {w:n} tentative over n signs)
p3.14 | H= . p + . h . C: C. Ie 3 -2 : . n Y_LATIN n Ie B= -4 / . [answered him] Ap -4 ft NULL_LOOP . : || in [?3] that they {the said:1} I Carew for Carew, I shall that he [ANSWERED HIM] none, that
p3.15 | [he came not fynde in his herte to] + . ct XX rho a. pt SS mu H= D CROWNED_BOX n . / . zo d+ J+ || [HE CAME NOT FYNDE IN HIS HERTE TO] return into England. Carew, he thin-
p3.16 | h z NULL_LOOP -4 CIRC_RING -8 xh ^ .B <. ll U_HOOK . S . q= : . # a. p) > F_LOOPCROSS BBAR 8 mu E x= d . . xe y= . k || -ki(th) that {your highness:1} can not forget this offence [?1] {yow:3} [?1]
p3.17 | . EE q . TALL_F_LOOP / . + x= or ct : . rho # H d+ sy -4 p . L_DOTS . C_DOTBEFORE C . C_CEDILLA . D y= ll #/ Z= . f E_DOT . or rho : . # || were him [?1] he {releeveth:6} that [?1] be [?3] [?1] wold be le-
p3.18 | . . OMEGA D p) SLASH_O_UND xh U_HOOK . S . ct D SS d+ OMEGA q . xh C= v H . x . AND H= E xh -8 ct CIRC_RING q= tl -8 xi SS_TAIL || -d to this charge, to ride him away [?1] and in ca{s:1}e {your highness:1} cow-
p3.19 | 8/ Y_LATIN < L_ a. q) Y_DOT [he reckening assuredly that] CIRC_DOT -2 3 S_DOTBELOW 9 . F_LOOPCROSS ll + . E_SLASH # g+ || -d(could) forget it {yet:1} [HE RECKENING ASSUREDLY THAT] the French king will [?1] forget
p3.20 | q) AND . I EE / . H= n . p h . -4 C= xh : . f- [so that being persuadedde that] -2 : . / || it, and [?1] were he in Carew [?2] that way [SO THAT BEING PERSUADEDDE THAT] he
p3.21 | E v mu ft XX .B or H H ct H= CROWNED_BOX H_ D . h . B p) B_OVERBAR . . NULL_LOOP NULL_LOOP / . x= rho J+ a. # mu Z= xo .B || can not lyve in England with {out:1} [?1] of this [?1], he entendth(intendeth) not
p3.22 | D ft NULL_LOOP SS # g+ s : . + . ^ zo 0 . th xi sy x= U_HOOK n= . Z q) S_DOTBELOW x tl B_OVERBAR : . L_ x= Y+ CIRC_RING D < d+ || to return, th'other the rebels [?1] it would pleese(please) {your highness:1} to gi-
p3.23 | pt ct q . q) . EE AND Y+ F F_LOOPCROSS BBAR 8 U_HOOK q . D o_ v . S . -2 ct J+ g+ 3 8 #/ 7 : . x= J+ ct X_BAR or H || -ve him it [?1] and suffer him to have a gentlem{a:1}nes ly-
p3.24 | C SLASH_O ^ . S . H= . L_DOTS . D E ll pt e -2 mu Y_ SS 8 f- . E_DOTBEFORE CIRC_BIG [apointment] EE= / . 7 : . xh DOTS2 . f H_ || -ving in [?2] countrey, Monsieur de [?1] [APOINTMENT] where he may be with
p3.25 | . D h . -2 / . S_DOTBELOW OMEGA # Dx ft 0 . S+ + . rho Y_ p) AND 9 . Y+ ct + . H 8 CIRC_DOT n= . f . E_DOTBEFORE CIRC_BIG E ll 7 9m || [?2] he would depart this and [?1] serve the French king. The rebels be Monsieur de [?1] com-
p3.26 | : . F_OVERBAR ^ Z= J tl 8 mu Y_ H= B . -4 zo v or q= b H x= -2 H= q . D . k XX : . n B= . E_DOTBEFORE -4 / . || -mandment, in {of:1} that [?6] in him to [?1] Carew shall [?1] that he
p3.27 | x= NULL_LOOP : . ^ a. 8 J+ OMEGA d+ ft xo .B D xi d Dx # mu -w th 3 E_CROSS [circumstances] XX tl B p) || -entendith(intendeth) not to open the [?1] [CIRCUMSTANCES] of this
p3.28 | 0 . BBAR S+ y= q= g+ # n . -4 . Z / . Y_ETA H #/ NULL_LOOP rho OMEGA . I . k / . 7 pt : . Y+ a. Z= x= Y_ ct E Y_ J || fawte(fault). Carew that [?1] he [?4] {if:2} he must detect m-
p3.29 | 8 J+ H E_SLASH ft d # ^ a. x= or J th ct ^ G= w= . 9 F_PLAIN H #/ OMEGA . f H= h . G= Ap [remaining] || -eny g{e:1}ntelmen, who, whereunto [?4] be in [?1], who none [REMAINING]
p3.30 | pt mu H_OVERBAR q= NULL_LOOP ^ ll SS_TAIL J+ XX : . 9 v f- #/ NULL_LOOP . . F ct q+ xe mu # X_BAR a. or : . H . E_DOTBEFORE or_sup pt > ft J x= || unknown, may l(i)ve honestly {at:1} [?2] home
p3.31 | P_ . Q_CIRC xo L_ F_LOOPCROSS <. tl 0 . ct E a. B n d . Ap n Ie O_SMALL 8/ q= r . ct -8 xh U_HOOK d+ Z= q) || {this:1} is th'effect of Carew [?1] none. Carew, {I:1} hath dec(l)arid(declared) it
p6.01 | [whom I talked with] 3 3r C_DOTIN -2 Ie [he shewed me that one] XX th -8 xi ft mu || [WHOM I TALKED WITH] [?1] I [HE SHEWED ME THAT ONE] Con-
p6.02 | J+ C= NULL_LOOP # #/ q) .SS ll C x= +. D : . XX or xh d g+ ct AND .d Ie o_ .B Y_DOT . Y+ Dx 0 . xe nj 8 mu H_ || -nwel {is:1} {rover:5} to laite(late) and [?1] I have not {yet:1} spoken with
p6.03 | q . Y_LATIN . / . q+ ct U_HOOK d+ 8/ -4 C. E xi SS ^ y= ct or B= / . -8 f- J XUND zo ll H # SS H_ 9 q= NULL_LOOP ^ J+ . . || him for he {herid(heard):5} that the said Cornwel shall he [?5] over with {on(e):3}
p6.04 | B 8/ . . F # +. X_CROSS d .S. rho 8 mu Y_ NULL_LOOP ct b 7 x= J+ B n BBAR_SUP U_HOOK XX L_ ^ Z= # P D r . . ct 0 . < S$ +. || of dyvers {i:1}gentelmen of Carew frendes to [?1]e gar-
p6.05 | J+ xh Y+ Y_ETA N_DOT . p n= Ie B= -4 .d n h J+ q= ll y= C. -8 ^ . : . U_HOOK ^ XX C= ct or Y_LATIN . / . Z= xi H || -{nas:3} {us:1} {them:1} [?1] the rebels. I shall that [?1] Carew know the said Cornwel. For he dou-
p6.06 | a. ft : . d+ sy SS_TAIL q+ ct rho xo # SS / . 9 . v H NULL_LOOP g+ SS H tl P g+ q . Y_LATIN . / . D_ or ll J+ .S. d+ mu . < || -tith whether he may trust him. For he was longing
p6.07 | D -w b q= -2 xi SS Z= : . d +. O_SLASH xo AND -4 / . sy 3r z ^ nj SLASH_O zo -4 J+ 0 . ^ [gentleman] || to the lord [?4] and that he thinkith that no [GENTLEMAN]
p6.08 | C= ^ : . or OMEGA a. +. th F : . Y+ g+ q . H_ 3r 9 ll mu q= . . [There is one who calling] || wold trust him with on{e:1} [THERE IS ONE WHO CALLING]
p6.09 | [him self] d r . < U_HOOK ft x= NULL_LOOP ^ ct r 8 SS H [who hath been] a. SS_TAIL f- X_BAR ct B . +. ft 8 8/ H || [HIM SELF] [?1] {Greneberye:9} [WHO HATH BEEN] twyse offred [?1]
p6.10 | k . N_DOTBEFORE n= n=_BAR ct pt ct NULL_LOOP mu E_DOTBEFORE [the first tyme] ll_BAR a. NULL_LOOP ^ h # q . Y_ETA_UL -2 v X_CROSS x || [?2] the rebels but even [?1] [THE FIRST TYME] they toke him for a sp-
p6.11 | H ct .I [undiscreetly] / . C X_BAR NULL_LOOP q= d+ OMEGA q . G . H_ N_DOT . AND [besides that] p) NULL_LOOP # or v y= || -ye. [?1] [UNDISCREETLY] he usid him, the Council with {them:1} and [BESIDES THAT] this {(f)elaw:4}
p6.12 | G= E S J H_ q . -w <. xi SS P Y_ : . R_DOTBEFORE [declared to] 3 n D= / . D_ AND EE= Y_ETA / . -8 xh 9 || who cam with him the forst(first) [?1] [DECLARED TO] Carew what he was and where {us:1} he ca-
p6.13 | .I -4 / . D_ E_DOTBEFORE -4 R_DOTBEFORE H= h . D o_ o= [displeasure] E_DOTBEFORE O_DOTBEFORE < v mu Z= ct Y_ AND .d ll .S. f- pt ct || -[?1] that he was [?1] that [?1] in [?1] to have had [DISPLEASURE] [?1] the Emperor {Gandet(Ghent):6} and [?1] {(n)gyve:5}
p6.14 | q . L_DOTS D E xh U_HOOK H Y_LATIN . n ll_BAR k . Y_ETA ll_BAR E v +. ct .B G= X_BAR ct ft NULL_LOOP # ll_BAR -2 C_HASH v mu || him be to cary for Carew they [?1] {us:1} they care not whose [?1] they [?1]{an:2}
p6.15 | 7 H < S$ sy # ft SS d+ 8/ BBAR S$ NULL_LOOP : . Y+ a. g+ xi th .S. O_SLASH xo ct +. XX O_DOTBEFORE X_BAR E_OVERBAR XUND Y_ : . 8 U_HOOK Y+ || m{a:1}y gather [?2] fast togither the Emperor's sisters
p6.16 | n mu q= xh 7 z OMEGA D L_DOTS g+ d y= XX ct J+ a. . . 3r 8 mu P x= : . tl d+ < ^ L_ P AND #/ H # || Carew namid to be t{i:1}wenty enseignes and lye
p6.17 | v r ll SS_TAIL q= NULL_LOOP a. ct or 0 . S xi : . mu B J+ 8 C_OVERBAR_E #/ : . rho xh ^ a. OMEGA_DOT <. J+ NULL_LOOP ct SLASH_O_UND Y_ L_ X_CROSS || abowte Laon, of new lantzknechtes
p6.18 | ll_BAR o_ B . .I 9 ct mu th f- .B .9 -w xo xi +. NULL_LOOP Z= x v +. XX a. Y_ETA ll_BAR zo > q= pt .S. pt g+ || they have of [?1] {eny:4} not [?1] the {thord(third):4} part. {us:1} they thought
p6.19 | D o_ o= : . OMEGA_BAR Dx v X_BAR -2 Y+ 3 O_SLASH OMEGA H_ H= xh J . . #/ : . ct B P_ . g+ NULL_LOOP xi y= mu ct NULL_LOOP SLASH_O || to have had, whereunto passid within a myle of {his:1} towne {(f)i-:1}
p6.20 | BBAR a. : . f- AND J+ 0 . rho . . ^ 8 E xh J+ tl ^ th mu L_ Y_ETA q) (q) Y_ -2 xe B_OVERBAR OMEGA A= -4 -8 || {-fty:3} and nine canone [?1]. It is told me that c-
p6.21 | v J . n x F_OVERBAR SS q= : . XUND P AND q) Y+ 8 rho ct 9 d+ sy ll a. xh nj ct -w y= d S H d g+ -8 || -am {Carew:1} Paris, and it semith {to:2} take the w{a:2}y {to:3}-
p6.22 | C= : . v +. OMEGA tl x= P Y+ xh d+ J+ g+ +. pt SLASH_O mu a. : . O_SLASH J+ XX .D h . . ^ 3r 8/ .B J H ^ : . XUND || -wardes Saint Quintin; [?1] {kynd:3} {of:1} muni-
p6.23 | -8 d+ xi J+ d Dx S+ q= ft Y+ X_BAR O_SLASH xo 8/ x= 0 . H or . . P_ . SS S f- D= O_DOTBEFORE d+ J+ : . a. ct ^ NULL_LOOP g+ || -cion [?1] {passid:6} [?3] {his:1} {ray:3} what the Emperor intent
p6.24 | (q) XX : . (q) h x= x NULL_LOOP Y_ R_DOTAFTER F_DOT (q)) (q) zo tl > s < q= q+ a. -4 CIRC_DOT S_DOTBELOW L_DOTS H= -w E xh J Dx || is, is kept [?2]. It is thought that the French king will be in the camp
p6.25 | q . G . AND <. S_DOTBELOW : . XX^INTERLINED q= ll_BAR y= xe or 0 . Z= .h .L D= ct d +. O_DOTABOVE L_DOTS Y+ g+ ft SS xi rho mu E_SLASH D || him, the Council and [?2] they wold [?2] {whether:4} the Emperor be strong to
p6.26 | J L_ : . x= Y_ ct N_DOT . -2 3 Too O_SMALL r 8 J+ 0 . X_BAR O_SLASH a. : . ct AND (q) .B Y_DOT . R_DOTAFTER . Y+ q= a. +. xe .tl || meete {them:1}. The Constable hath ben {sike:4} and is not {yet:1} [?1] stro-
p6.27 | mu < -w OMEGA F^H h ct B .S. y= f- ft NULL_LOOP X_BAR x= 0 . Dx L_ ^ P : . H a. 8 E_DOTBEFORE AND < xh 3r SS_TAIL EE_ / . (q) || -ng. The Duke of Gwyse [?7] [?1] and [?3] will he is
p6.28 | +. ct E ^^H # mu d+ -2 8/ Z_SMALL_DOT . nj rho J+ -8 y= .B . [And thus I beseech Jesu long to preserve your highness in health, honour and all felicity. Written at Soissons the ? of June 1554] || reckenid [?1] know not. [AND THUS I BESEECH JESU LONG TO PRESERVE YOUR HIGHNESS IN HEALTH, HONOUR AND ALL FELICITY. WRITTEN AT SOISSONS THE ? OF JUNE 1554]
# measured (nulls per key_v6.md plus E_DOT and r.; ':' '.' and bracketed clear text not signs): 1386 non-null signs, 1099 firm (79.3%), 158 tentative, 129 unread; 90.7% incl. tentative. v5 p3+p6 for comparison: 988 firm of 1343 (73.6%), 88.8% incl. tentative (different null list).
