record	token_no	decode_token	image_reading	value	kind	grade	note
R1012	397	rcf	ucf	su	misread	C	same u-loop-f sign as token 58 (tt mark above); a su suegro
R1012	408	as.	a		null	H	line-end a with flourish (null); the next DECODE "as" (line-initial) is also the null a, not za
R1012	416	96	46	de	misread	H	looped 4; de-ve-r-le = deverle
R1012	428	ce	ec	me	misread	H	VS me escrive
R1012	435	E	ℰ	ll	new-code	C	crossed ℰ-like sign = ll; followed by hooked 8 (DECODE 8) = o: ha-ll-o = hallo; same sign in aquello, lleve, lleno
R1012	446	ge	ye	es	misread	H	que es de su servicio; DECODE skipped the image line "28 xo oc ye ed 63 8 15 ad 66 xe 31 ec d" before this (s como espanol por parecerme que)
R1012	459	ge	ye	es	misread	H	en es-a corte = essa corte
R1012	470	500	(500		null	M	bracketed 500 under the last line of p.4 (catchword position); hundreds are nulls
R1012	475	92	42	vi	misread	H	looped 4; in-vi-a-do = inviado
R1012	483	ao	ad	pa	misread	H	har-to pa-r-ci-a-l
R1012	498	otd	ot d	ch que	misread	H	ot ch + struck d que; dich(o) que assegurare
R1012	504	96	46	de	misread	H	looped 4; de-es-to = desto
R1012	535	100	100	algun	new-code	M	100 △ 28 = algunas (margin "en algunas cosas"); split between 100 and △ uncertain (100=algun with △=a, or 100=alguna with △ null)
R1012	536	25b3	△	a	new-code	M	triangle sign; see token 222
R1012	538	00	xo	co	misread	H	DECODE split xo into "00" "0"; xo af B = cosas
R1012	539	0			misread	H	spurious: the o of xo (token 538)
R1012	542	00	xo	co	misread	H	xo oc = como (split as above)
R1012	543	0			misread	H	spurious: the o of xo (token 542)
R1012	544	c	oc	mo	misread	H	oc = mo; DECODE then omits "ℰ Ŧ" (= lle) before 41 ve: lleve
R1012	562	C	ℰ	ll	new-code	C	crossed ℰ sign = ll; a-que-ll-o = aquello
R1012	563	S	8̂	o	new-code	C	8 with hooked top (distinct from plain 8 = l) = o; aquello
R1012	569	mi	ni	fi	misread	H	con-fi-r-ma-re = confirmare
R1012	582	09	og	ho	misread	H	og ho + 20 n + 10 b + 66 re = honbre (hombre)
R1012	586	F	ℰ Ŧ	lle	misread	C	ℰ ll + barred 7/F-like sign = e (as in lleve); lle-no = lleno
R1012	602	S	8̂	o	new-code	C	hooked 8 = o after dan (mte): fundamento
R1012	607	t	d	que	misread	H	struck d at line end = que; a veces que su propia
R1012	620	asegunado>			null	H	no cipher group on the image: the passage ends "13 74 a a~" (DECODE 79 for 74 tu -> inquietud; "os" is the end flourish); "asegunado" is the clear "asegurado" of the text below
