# R9403 (BayHStA KAA 4591 f.226-228), system B. page	line	cipher_words	reading
# Codes written from the reading with the key found here (e=AST, r=X, n=N "+"); homophone choice (W/HH for t, EQs/T for f) not kept. g: = interlinear gloss.
# P2 (f.226v) holds only a clear-text docket: "R[..] [..] anno 32" (not cipher).
P3	6	D.3.W.3.B.3.9.3 EQs.U2.X.3.OD W.M.N.EQs.3.W.3.HH.U2.X N.OD.U2.AST.O+ 3.N.EQs.3.N.3.HH.AST B.M.O.B.OD.X.D.AST OD.N.N.M.N.OD AST.HH	dicibili furia conficitur naues infinite bombarde annona et
P3	7	U2.3.W.HH.U2.OD.9.3.OD W.M.9.9.3.Z.U2.N.HH.U2.X AST.HH D.AST.EQ.M.X.HH.OD.N.HH.U2.X OD.D D.OD.N.U2.B.3.U2.O OD.W D.AST.9.AST.W.HH.U2	uictualia colliguntur et deportantur ad danubium ac delectu
P3	8	O+ EQs.3.HH O.3.9.3.HH.U2.O Q.U2.M.D OD.U2.HH.AST.O 3.O+.HH.OD O+.EQ.3.X.AST.N.O+.3.O+ D.3.AST.HH.OD O+.3.HH 3.HH.OD B.X.AST.U2.3.O+ EQs.U2	s fit militum quod autem ista spirensis dieta sit ita breuis fu
P3	9	HH.U2.X.OD O.U2.9.HH.U2.O D.M.9.AST.M HH.OD.O.AST.N Q.U2.OD.O EQ.X.3.O.U2.O EQ.M.O+.HH H.OD.N.W 3.N.HH.AST.N.O+.3.O+.O+.3.O	tura multum doleo tamen quam primum post hanc intensissim
P3	10	OD.O AST.Z.X.3.HH.U2.D.3.N.AST.O O.AST.OD.O OD.9.3.Q.U2.3.D X.M.B.M.X.3.O+ W.M.N.HH.X.OD H.OD.B.AST.B.M EQ.AST.X EQ.M.O+.HH.OD.O+	am egritudinem meam aliquid roboris contra habebo per postas	# blot on the q of "aliquid"
P3	11	OD.D 3.EQ.O+.OD.O D.3.AST.HH.OD.O W.U2.X.X.OD.O ?.M.X.OD.HH.M.X OD.D W.AST.O+.OD.X.AST.OD.O O.OD.3.AST.O+.HH.OD.HH.AST.O AST.HH 3.O.EQ.AST.X.3.3	ad ipsam dietam curram [?]orator ad cesaream maiestatem et imperii	# first sign of "[?]orator" uncertain (O-shaped); reading "orator" from context
P3	12	O+.HH.OD.HH.U2.O+ Q.U2.OD.X.AST X.M.Z.OD.HH EQ.X.3.N.W.3.EQ.AST.O+ ?.O.AST.U2.O+ 3.9.9.U2.O+.HH.X.3.O+.O+.3.O.M.O+ EQ.X.3.N.W.3	status quare rogat principes [?]meus illustrissimos princi	# "O.AST.U2.O+" = meus, sense unclear after "principes"
P3	13	EQ.AST.O+ U2.HH W.U2.O OD.9.3.3.O+ OD.O.3.W.3.O+ O+.U2.3.O+ 3.O.EQ.AST.D.3.OD.N.HH N.AST OD.9.3.Q.U2.3.D D.AST.W.AST.X.N.OD.HH.U2.X	pes ut cum aliis amicis suis impediant ne aliquid decernatur
P3	14	W.M.N.HH.X.OD 3.EQ.O+.U2.O D.M.N.AST.W AST.Z.M U2.AST.N.AST.X.M N.M.N H.OD.B.AST.HH AST.N.3.O DAG 3.N HH.M.HH.M 3.O	contra ipsum donec ego uenero non habet enim [DAG] in toto im
g:	14		non habet[e]
P3	15	EQ.AST.X.3.M 3.N.HH.AST.X M.O.N.AST.O+ EQ.X.3.N.W.3.EQ.AST.O+ W.U2.3 EQ.9.U2.O+ EQs.3.D.OD.HH AST.HH W.U2.3 AST.HH.3.OD.O	perio inter omnes principes cui plus fidat et cui etiam
P3	16	EQ.9.U2.O+ O+.HH.U2.D.AST.OD.HH AST.HH W.U2.EQ.3.OD.HH 3.EQ.O+.M AST.EQs.EQs.AST.W.HH.U2 Z.X.OD.HH.3.EQs.3.W.OD.X.3 Q.U2.OD.O	plus studeat et cupiat ipso effectu gratificari quam
P3	17	EQ.X.3.N.W.3.EQ.3.B.U2.O+ U2.AST.O+.HH.X.AST D.M.O.3.N.OD.W.3.M.N.3.O+ Q.U2.M.D 3.N.D.U2.B.3.AST 3.HH.OD AST.O+.HH AST.HH	principibus uestre dominacionis quod indubie ita est et
P3	18	EQ.X.M Q.U2.M AST.Z.M AST.X.M EQs.3.D.AST.3.U2.O+.O+.M.X D.AST O.OD.HH.X.3.O.M.N.3.M N.AST.O+.W.3.M Q.U2.3.D O+.W.X.3.B.OD.O HH.OD.O.AST.N	pro quo ego ero fideiussor de matrimonio nescio quid scribam tamen
P3	19	3.N.HH.X.OD D.AST.W.AST.O D.3.AST.O+ W.M.N.O+.HH.3.HH.U2.OD.X W.U2.O EQ.M.9.M.N.3.AST X.AST.Z.AST O+.AST.X.AST.N.3.O+.O+.3.O.M AST.HH Q.U2.3	intra decem dies constituar cum polonie rege serenissimo et qui
P3	20	D.Q.U2.3.D EQ.AST.X.EQs.AST.W.AST.X.M O+.EQ.3.X.AST D.AST.W.9.OD.X.OD.B.M N.OD.O OD.EQ.U2.D EQ.M.9.M.N.M.O+ O+.3.W.U2.HH.3 OD.EQ.U2.D	dquid perfecero spire declarabo nam apud polonos sicuti apud
P3	21	Z.OD.9.9.M.O+ 9.AST.Z.AST W.OD.U2.HH.U2.O H.OD.B.AST.HH.U2.X D.AST AST.XH D.M.HH.OD.N.D.3.O+ X.AST.Z.U2.O EQs.3.9.3.OD.B.U2.O+	gallos lege cautum habetur de ex dotandis regum filiabus
g:	21		filiabus
P4	1	D.AST H.3.O+ U2.AST.X.M AST.HH OD.9.3.3.O+ X.AST.B.U2.O+ 9.OD.HH.3.U2.O+ Q.U2.U2.O O+.EQ.3.X.AST AST.X.3.O.U2.O+ HH.X.OD.W.HH.OD.B.3.O.U2.O+	de his uero et aliis rebus latius quum spire erimus tractabimus
P4	2	3.N.HH.AST.X.AST.OD O.AST AST.XH OD.N.3.O.M W.M.O.O.AST.N.D.M 3.9.9.U2.O+.HH.X.3.O+.O+.3.O.3.O+ EQ.X.3.N.W.3.EQ.3.B.U2.O+ Q.U2.M.X	interea me ex animo commendo illustrissimis principibus quor
P4	3	U2.O O+.AST.X.U2.3.HH.M.X O+.U2.O AST.HH AST.X.M U2.AST.O+.HH.X.OD AST.HH.3.OD.O D.M.O.3.N.OD.W.3.M H.OD.B.AST.OD.HH O.AST W.M.O.O.AST.N.D.OD.HH.U2.O	um seruitor sum et ero uestra etiam dominacio habeat me commendatum
P4	4	D.OD.HH.AST D.AST.W.3.O.OD O+.AST.EQ.HH.3.O.OD O+.AST.EQ.HH.AST.O.B.X.3.O+ OD.N.N.M HH.X.3.W.AST.O+.3.O.M EQ.X.3.O.M 9.OD.O+.W.3 O+.W.X.3	date decima septima septembris anno tricesimo primo lasci scri
g:	4		Date decima septima septembris anno tercesimo primo las[..] [..]scri
P4	5	EQ.O+.3.HH	psit
g:	5		psit
P4	6	EQ.9.U2.X.3.O.U2.O X.M.Z.M U2.HH H.OD.O+ 9.3.HH.AST.X.OD.O+ DAG OD.9.3.Q.U2.M EQ.OD.W.HH.M EQ.M.O+.O+.3.HH	plurimum rogo ut has literas [DAG] aliquo pacto possit
g:	6		plurimum rogo ut has literas aliquo pacto possit
P4	7	U2.AST.O+.HH.X.OD D.M.O.3.N.OD.W.3.M M.EQs.EQs.AST.X.X.AST 3.O.EQ.AST.X.3.3 O+.HH.OD.HH.3.B.U2.O+	uestra dominacio offerre imperii statibus
g:	7		uestra dominacio offerre imperii statibus
