target,symbol_kind,system,distinct_symbols,documents_llm,documents_all,tokens_llm,measured,glyph_file,image_quality,outcome,transcription_notes
hamilton1569,symbols,"Letter substitution with invented signs for Scots, a th/y (thorn) sign, word signs for 'and' and 'to', and a few code signs for persons and states (Elizabeth, France, Spain), clear salutation and close.",unknown,1,1,unknown,False,,good,already solved,"Full-resolution scans, 6800 x 9400 px; the date day on f. 73v partly illegible."
harley1582r8499,symbols,"Graphic-sign letter substitution with 3-6 homophones per letter, about 16 nulls ('Nihil significantia') and a nomenclator of ~150 names and common words (and, the, of, to, was, the Constable, Peter Carew, the rebels, your highness ...). Nulls present.",150,1,1,3152,True,ciphertext.txt,good,read in part,First transcription in ad-hoc tokens made before the key was found; several tokens merge distinct key signs.
harley1582r8500,digits and symbols,"Letter substitution with homophones (6=e, w=a, x=i/y ...) plus single-sign and numeric codes (B Villeroy, O+ Nemours, 120 French ambassador, 47 King of Navarre).",20,1,1,61,True,ciphertext.txt,good,read,Five postscript runs on f. 65v transcribed sign by sign; sibling runs transcribed by a subagent (sib_runs.txt).
harley1582r8504,digits and symbols,"Letter substitution with homophones (6=e, w=a, x=i/y ...) plus single-sign and numeric codes (B Villeroy, O+ Nemours, 120 French ambassador, 47 King of Navarre).",7,1,1,7,True,ciphertext.txt,fair,read,"One seven-sign word on f. 76r line 2, transcribed sign by sign at 8x."
harley1582r8505,letters and symbols,"Homophonic substitution of about 50 graphic signs on the 21-letter alphabet, three to six homophones for the frequent letters, plus ten unread nomenclator numbers written between dots.",57,1,1,3564,True,ciphertext.txt,fair,read,"Two passes. The first (ct_p1..p4.txt) was made before the cipher was broken and was 15-30% wrong at sign level. The second, made with the key in hand and checked line by line against the images, covers ff. 263v and 264v (ct2_p3.txt, ct2_p4.txt; 513 and 138 tokens changed). ff. 263r and 264r keep the first pass, corrected only between the shape pairs the second reading proved confusable, every change logged in emendations_all.txt and merges.txt."
harley286,letters and symbols,"D'Ewes's private invented alphabet: simple substitution of Latin, one sign per letter (p and g share a sign), numerals written with the letter signs, words divided.",23,1,1,281,True,cipher.txt,fair,read,"281 cipher words measured (cipher.txt, the glyph column); 1112 signs with --letters. transcription.tsv counts 287 word slots because it includes the struck words and the estimated words of the trimmed last line; the read bar is computed on those 287. Only heading 1635 and margin dates are clear."
harley287,symbols,"Graphic-sign simple substitution with a few homophones (a, i/a, w/u, g), words divided, inserted as runs in clear English.",unknown,3,3,unknown,False,,good,read in part,"Cipher runs read by context word by word; no glyph-level transcription file. | Enclosed intelligence from Middelburg, another hand; five cipher lines. | Cipher runs read by context; no glyph-level transcription file."
harley7001,digits and symbols,"Numerical nomenclator: 1-50 single letters with odd numbers as nulls, 51-100 letters and syllables, about twenty symbol letters, and an alphabetically ordered code of words and names from 100 to about 735.",137,1,1,254,True,ciphertext.txt,good,read in part,"Numbers plus symbol letters; three apparent digits (8, 2, D) proved to be symbol letters (phi, reversed c, n-sign) once the key was read."
heidelberg597,digits and symbols,"Three simple sign alphabets for German (key A, the compiler's 24-sign 'new abc' of f. 1r; key B, stroke and figure signs of ff. 6v and 91v; set C of ff. 1r, 5v-6r, 44v, 93r), used for substance names inline in clear recipes and for a few whole passages.",24,1,1,unknown,False,,good,already solved,"No continuous transcription of the cipher was made; only the alphabets (f. 1r, f. 6v, f. 91v) and check words (f. 1r l. 2, f. 11r, f. 93r) were transcribed sign by sign, so no token count exists. The survey of all 85 leaves locates the cipher runs."
hesse1603,digits and symbols,"Two-digit figures: bare = letters with up to four homophones, and comma, two-dot and overbar marks select three word/syllable/name lists, plus a dozen glyphs, a doubling sign and nulls.",unknown,7,7,4100,False,ct/p084.txt; ct/p099.txt; ct/p230.txt; ct/p269_272.txt; ct/p307_314.txt; ct/p391.txt,good,read,"Measured with --digits: glyph tokens in braces ({te}, {ville}...) are not counted. | --digits | Sum of --digits measurements of ct/p211_212.txt (226) and ct/p213_214.txt (506). | --digits | --digits | --digits | --digits"
it1583,symbols,"Graphic-sign cipher of the Sforza chancery type: letter signs with homophones, probably signs for vowel+consonant syllables, word signs and nulls (inferred from the related Simonetta-Amidani key, ASMi Sforzesco 1597 no. 14). The actual key is not found.",26,2,2,794,True,f68_signs.txt; f70_signs.txt,fair; poor,not read,"Draft only: diacritic variants (dotted c, d with apostrophe, barred g) merged; several signs uncertain. Clear Lombard Italian between the cipher runs. | Draft only; a different hand with the same sign family as f. 68; sign equivalences between the two hands not certain."
jantini1517,letters and symbols,"Two-tier signs (a base stroke 7, m, n, g, y, L-bracket with a small sign above or inside), resembling Caprile's 1519 cipher but with a different sign inventory; the unit (letter, syllable or word) is not established.",137,2,2,581,False,c1126_p1.txt,fair; poor,not read,"Two readings per page, disagreements settled on the image; estimated residual error 3-8%."
joyeuse,digits and symbols,"Graphic-sign cipher in three layers: about 80 unmarked homophonic letter signs, about 50 marked syllable signs, and numeric code groups for names.",147,1,1,358,False,,good,not read,"--measure on ct_f539.txt gives 369 / 135 because it counts the 11 '|' line markers and normalises some suffixes; NOTES count 358 tokens, 147 distinct used. Several base identities are judgement calls."
kaa4591,letters and symbols,"Not one system: at least six — a letter substitution with nomenclator (R9325), a monoalphabetic graphic cipher with word signs (Łaski, R9322/23/17), homophonic graphic ciphers in German (R9416, R9368 family), a Latin-letter cipher (R9424), and a dot grille (R9319).",unknown,14,14,unknown,False,,good,read in part,
kaa4591b,letters and symbols,"Three graphic-sign ciphers: Łaski's System B (monoalphabetic with word signs, e/r swapped) for R9403, and two homophonic sign alphabets, L (R9415, Latin) and G (R9414, German), with a few word signs.",unknown,3,3,9468,True,r9403/signs.txt; r9414/signs.txt; r9415/signs.txt,fair,read in part,"Reading-aligned: sign codes written from the reading with the key (build.py), homophone variants not kept, so the count is a reconstruction. | One char per sign; clear passages and glosses excluded by signstream.py. | transcription_v2.txt, one char per sign, '?' blots counted as signs."
kaliningrad,letters and symbols,Latin-letter text of about a thousand characters with primed consonants and dotted initialism groups; system undetermined.,unknown,1,1,unknown,False,,poor,not read,"Transcription attempted and abandoned: faint cursive, bleed-through, n/u/v/w not separable. About a thousand characters by others' estimate."
lanssac,symbols,"Homophonic letter cipher in graphic signs, two or three signs per common letter, with a dozen syllable and word signs (et, nt, st, de, ou, ns, car, pour, Allemagne, l'Empereur).",47,4,4,505,True,f124_tokens.txt; f160_tokens.txt; f164_tokens.txt; f174_tokens.txt,fair,read,"NOTES give 100 signs (96 read); the measured 106 tokens include syllable and word signs written as tag names. Glyph conflations (3/hooked 3, cross forms, two et forms) told apart by context. | Four runs of 3-7 signs unread."
lebel1593,digits and symbols,"Homophonic substitution (1-2 signs per letter), three nulls, an et sign, and a ~300-number code set off by dots with an alphabetical addendum above 300; key published by Tomokiyo.",unknown,3,3,1935,False,,fair,read,"Two passes; ~93% of letter signs read. Length: ~1,150 letter signs + ~60 code groups, estimated in reading11_full.md; the sign-by-sign file mixes labels and prose, so --measure does not apply. | Recto ~94%; verso cipher lines under recto bleed-through, ~55%. Length: f.130r ~560 letter signs + ~75 codes, f.130v ~90 signs (estimates, reading62_full.md). | About 60 cipher lines over ff.194r-195r; ~85% of letter signs."
lee1526,symbols,Lee-Worcester sign cipher (1526-29): graphic-sign alphabet with word and name signs.,unknown,4,4,823,False,plaintext.txt; r8465_reading.txt; r8473_reading.txt; r8533_reading.txt,good,already solved,"Only the interlinear decipherment was transcribed; the sign cipher was spot-checked, not transcribed. | Three cipher lines on f. 238v transcribed sign by sign; two or three signs doubtful. | Two cipher blocks read sign by sign with Tomokiyo's key, checked against Tuke; plaintext word count by hand. | Three passes; cipher plaintext words counted by script from the token list; 414 read (90.6%)."
lodi1584,symbols,"Greek-like sign alphabet with a few homophones for vowels, 22 word signs, name numbers 50-94, nulls and a doubling sign; key bound with the letter (f. 211).",unknown,1,1,307,True,plaintext.txt,fair,already solved,"Only the interlinear decipherments were transcribed; the cipher was spot-checked against the bound key, not transcribed."
lomer1563,digits and symbols,"Throckmorton's third cipher (R9262 p.1): homophonic alphabet of dotted digits and signs, word signs (τ = the), clear-word nulls (car, hault, bab…). Checked on passage (1).",unknown,1,1,7,True,transcription_p1.txt,good,already solved,Passages (1)-(10) on ff.138-139; only passage (1) lines 2-3 transcribed for the key check. f.138 top ends a Throckmorton letter; f.139 (11)-(17) marked Sr Tho: Smith.
lopehurtado,letters and symbols,"Three-letter consonant-vowel-consonant nomenclator codes mixed inline with clear Spanish, with homophones at code level (ta and tu both = 'no'), codes used for syllables as well as whole words, and long words spelled letter by letter between the codes.",49,5,5,29,False,NOTES.md; key_codes.tsv,fair; good,read in part,"Only the crib passage on f. 238 is transcribed so far; the count is of code groups aligned to the clear with exact word counts, counted by hand, not measured by _check_profile.py. | Used so far only to confirm that the same key runs across Hurtado's letters; not transcribed. | DECODE records this as Non-decrypted. Two short passages on f. 262 read here; the count is of code groups resolved, counted by hand. | DECODE records this as Non-decrypted, and it has no clear version or duplicate anywhere. Used as the independent control on the key; only 'el papa' read so far. | DECODE calls this Partially decrypted, but the leaf carries NO cipher at all - it is written entirely in the clear and signed Lope Hurtado. The 'partial' status appears to reflect faded show-through at the head of the page. Read complete as read_r9652.md; there is nothing here to decipher."
lopehurtado1523,letters and symbols,"Three-letter consonant-vowel-consonant nomenclator codes mixed inline with clear Spanish, with homophones at code level (ta and tu both = 'no'), codes used for syllables as well as whole words, and long words spelled letter by letter between the codes.",49,8,8,unknown,False,,good,read in part,in progress | in progress | in progress | in progress | in progress | in progress | in progress | in progress
malvezzi1548,symbols,"Monoalphabetic homophonic cipher in graphic signs (alchemical and planetary signs, Greek and Latin letters with other values), two or three signs per common letter, numbers for doubled letters, and a short code list of syllables for the principals.",unknown,1,1,unknown,False,none,good,read in part,"Read directly from the images against the key; no separate symbol transcription file was produced. Cipher runs on pp. 1, 4, 5, 6, 7, about three pages in all."
marburg1635,digits and symbols,"Letter substitution written mostly in digits (0-9) plus a few signs (theta, triangle, d-shaped sign, w-sign, crossed t, crossed 4); '12' written together is r; a few homophones (a: 5, A; s: 2, F).",22,1,1,590,True,cipher_tokens.txt,fair,read,--measure counts 654 including 64 word-space marks; 590 signs. Lines 1-2 cramped under a faded gloss.
marechaux1520,symbols,"Homophonic substitution with invented graphic signs, 20 letters with 1-4 signs each plus code signs for CON and ET, no word division.",unknown,1,1,1341,True,f41v_letters.txt,good,read,"The measured file holds the deciphered letters of f. 41v (37 lines), not sign codes; bracketed code signs such as [CON] add a few letters."
maria1435,symbols,"42 graphic signs (digit-like, letter-like and dotted figures) in three runs inside clear Catalan; system not established.",21,1,1,42,True,cipher.txt,unknown,not read,"Three runs in the queen's letter (NOTES says four runs in one place, three in the table; cipher.txt has three). Some plain 8s carry a top-right stroke (8R), separated in cipher.txt."
