folder,proposed,recorded,flags,cls,attack,prior,title
ayala1516,read with known key,,,already solved,published key,in print/after reading,"Diego López de Ayala (Brussels) to Cardinal Cisneros, 30 August 1516 (AGS Estado leg. 496 "
bagno1652,not solved,,,not read,ciphertext-only,no/before attempt,"Niccolò Guidi di Bagno to the Secretariat of State, Paris, 5 January 1652 (AAV Francia 104"
balbases1677,key recovered based on adjacent plaintext,,,read,known plaintext,partial/before attempt,"Balbases (Nijmegen) to Fuenmayor (Copenhagen), 1677-78, DECODE R985-R998"
baner1640,key recovered based on adjacent plaintext,,a sibling-key / key-from-source step worked: key may have been in hand,read in part,crib,no/before attempt,"Johan Banér to Torsten Stålhandske, Hof, 29 December 1640: intercepted copy in Kircher's c"
bay1706,read with known key,,,read,key from archive,no/unknown,"András Bay to Ferenc Rákóczi II, Jászvásár 8 March 1706 (DECODE R478)"
bayard1526,not solved,,,not read,ciphertext-only,no/not found,"Gilbert Bayard (Toledo) to Anne de Montmorency, 5 Jan 1526 (BnF Clairambault 325 f. 84; DE"
beatrice1482,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/before attempt,"Beatrice d'Aragona: DECODE R1140, R1141, R1142, R1143, R1154"
benedict1399,key recovered based on plaintext from external sources,,"full prior solution in print, found before attempt | already solved elsewhere: independent re-solution?",already solved,known plaintext,in print/before attempt,"Benedict XIII's cipher letters to Francesc Climent, 1399-1416, Arxiu Capitular de Barcelon"
bergamo1585,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched?",read,published key,online/before attempt,"Paris nunciature (bishop of Bergamo, archbishop of Nazareth) to the Secretariat, 1585-86 ("
bethune,key recovered based on adjacent plaintext,,,read in part,known plaintext,partial/during attempt,"Henri IV to Philippe de Bethune (Rome), 9, 10 and 22 Nov 1601, BnF fr. 3484 nos. 7, 8, 12"
birago,not solved,,,not read,ciphertext-only,no/not found,"Lodovico Birago to the Duke of Nevers, Saluzzo, 13 Nov 1571, BnF fr. 3251 f. 119 (numeric "
bizozola1520,read with known key,,,read,published key,online/before attempt,"Ambrogio Bizozola to Maximilian Sforza, Bologna 4 Nov 1529 (BnF fr. 3034 ff. 156-157, DECO"
bl32305,not solved,,,not read,ciphertext-only,partial/during attempt,"Paris 1719 and 'Carré' 1742-45 code letters, BL Add MS 32305 (DECODE R2963-R2974)"
blancmesnil,not applicable,,,offline only,none,no/not found,"Nicolas Potier de Blancmesnil to the Duke of Nevers, 'ce dernier juin', BnF fr. 3633 f. 24"
blume,not solved,,,not read,ciphertext-only,no/not found,"'BLUME SALAMANCA' telegram 1, Zurich -> Salamanca via London, 8 Jan 1937 (Swiss Federal Po"
bonzagni1512,read from existing decipherment,,,already solved,archive decipherment,in archive/before attempt,"Giovanni Battista Bonzagni (Eger) to Ippolito I d'Este, 1512-1514, ASMo Ambasciatori b. 4/"
bordeaux,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read,key from archive,in archive/during attempt,"Antoine de Bordeaux (London) to Brienne, 30 May 1653 NS, BL Add MS 4200 ff. 88-90 (Thurloe"
boswell,read with known key,,,read,published key,partial/before attempt,"Charles I and Nicholas to Sir William Boswell, 2 Nov 1643, TNA SP 84/157 ff. 217, 219"
boswell1628,read with known key,,,already solved,published key,online/before attempt,"Sir Ralph Boswell to his cousin William Boswell, Dec 1627 / Jan 1628, TNA SP 106/5 (DECODE"
breves1603,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/during attempt,"Henri IV to Savary de Brèves, Constantinople, 1603, BnF fr. 3541 ff. 60-104 (catalogue ite"
breves1610,not solved,,,not read,key from archive,no/before attempt,"Marie de Médicis (Brulart) to Savary de Brèves, Rome, 15 Sept and 10 Nov 1610 (BnF fr. 378"
buda1489,read with known key,,,read in part,published key,partial/before attempt,"Milanese embassy at Buda, 1489-90: Maffeo da Treviglio's cipher (ASMi Sforzesco 642/650)"
burghley1559,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/during attempt,"William Cecil to Sir Ralph Sadler and Sir James Croft, 11 Sep and 30 Oct 1559, BL Add MS 3"
burghley1572,not solved,,,not read,none,no/not found,"Lord Burghley to Francis Walsingham, Audley End, 2 Sept 1571 (BL Harley MS 260 ff. 143-145"
caprile1519,key recovered based on plaintext from external sources,,,read in part,crib,partial/during attempt,"Giuliano Caprile and Alfonso Cistarelli (Eger, Buda) to Ferrara, 1519-1521, ASMo Ambasciat"
caracciolo1537,read with known key,,,read,published key,online/before attempt,"Cardinal Caracciolo (Milan) to Charles V, 14 November 1537 (AGS Estado leg. 1184 fol. 110,"
carpio1677,read from existing decipherment,,key rebuilt from the decipherment? then adjacent/external plaintext,read,archive decipherment,in archive/before attempt,"Marqués del Carpio (Rome) to Baltasar de Fuenmayor (Copenhagen), ten letters, 4 Sept - 11 "
castelcicala1816,key recovered based on adjacent plaintext,,,read in part,crib,partial/during attempt,"Principe di Castelcicala (London, Paris) to the Marchese di Circello and Cavaliere de' Med"
catinat1691,read with known key,,,read,published key,partial/before attempt,"Louvois and Louis XIV to Catinat, seven Grand Chiffre despatches, 8 July - 14 Sept 1691 (M"
catokwacopa,key recovered based on plaintext from external sources,,,read in part,crib,partial/before attempt,"The Catokwacopa advertisements, The Standard, 8 and 20 May 1875 (Schmeh Top 50 no. 8)"
censorship,not solved,,,not read,known plaintext,partial/before attempt,"WW2 British postal-censorship manual steganograms, TNA KV 2/2424 (Schmeh Top 50 no. 33)"
ceva1632,read with known key,,solver/crib steps worked: key extended or rebuilt?,read in part,published key,online/before attempt,"Cardinal Barberini to Nuncio Ceva, Paris, 1632-34 (ASV SdS Francia 346)"
champagne1590,read with known key,,solver/crib steps worked: key extended or rebuilt?,read in part,key from archive,partial/during attempt,"Champagne news-letters to Nevers 1590-91 and Laurière to Nevers 1593, BnF fr. 3623 and fr."
charles1536,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/during attempt,"Charles V to the Empress Isabella, Borgo San Donnino 17 May 1536 (AGS Estado leg. 496 ff. "
charlesi,not solved,,,not read,sibling key,no/not found,"Charles I in the Isle of Wight, the two unread cipher letters of 22 May and 1 August 1648"
charlesixducroc,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,online/before attempt,"Charles IX to Philibert du Croc, undated (1565–1567 or 1572), DECODE R2789"
chaulnes,not solved,,,not read,ciphertext-only,no/not found,"Louis XIV to the duc de Chaulnes, Versailles, 10 July 1690 (300-group one-part code)"
chodkiewicz1575,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/before attempt,"Jan Chodkiewicz (Szklow) to Maximilian II, 22 February 1575, HHStA Chiffrenschluessel Kt. "
cifuentes1534,read from existing decipherment,,,already solved,archive decipherment,in archive/before attempt,"Count of Cifuentes (Rome) to Charles V, 3 Sept 1534, AGS Estado leg. 862 ff. 53-54 (DECODE"
clair357,read with known key,,,read,published key,in archive/during attempt,"Anonymous figure cipher, 28 October 1586, BnF Clairambault 357 ff. 167-168 (catalogue item"
cobham1588,read after matching with key from external sources,,,read in part,sibling key,partial/during attempt,"Lord Cobham to Walsingham, May-June 1588 (BL Harley MS 287, DECODE R8490/R8492/R8495/R8496"
cocquet,not solved,,,not read,none,no/not found,"Cocquet to Mangot, Rome, 13? November 1616, BnF Clairambault 369 ff. 316-317"
colbert,not solved,,,not read,ciphertext-only,no/not found,"Colbert correspondence ciphers: Charost (Calais, 3 July 1675) and Gravel to Maulevrier (Ma"
coligny1563,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/before attempt,"Coligny to Elizabeth I, 2, 24 and 29 Jan 1563, BL Add MS 4136 ff. 141-148 (DECODE R9237, R"
colonia1721,read with known key,,,already solved,published key,online/before attempt,"Unsigned cipher slip, Brussels 9 Oct 1721, in the Cologne nunciature archive (ASV Arch. Nu"
conley1652,not solved,,,not read,none,no/not found,"Royalist letters in Abraham Cowley's hand ('Mr. Conleys Hand'), Paris 28 Dec 1652 and 3 Ma"
conti1649,read with known key,,,read,published key,in print/before attempt,"Prince de Conti's ciphered mémoires to Laigue and Noirmoutier, Paris, 5, 26 and 27 March 1"
copenhagen,not solved,,,not read,ciphertext-only,no/not found,"Copenhagen cryptogram (Schmeh Top 50 no. 23), slip found behind an 1835 portrait of a Dani"
dagapeyeff,not solved,,,not read,ciphertext-only,no/not found,"D'Agapeyeff challenge cipher, Codes and Ciphers (OUP, 1939) p. 158"
damiata1624,read from existing decipherment,,,already solved,archive decipherment,in archive/before attempt,"Paris nunciature (Spada, archbishop of Damiata; Bernardino Naro) to the Secretariat, 1625 "
dandini1580,read with known key,,solver/crib steps worked: key extended or rebuilt?,read,published key,in archive/before attempt,"Cardinal of Como (papal Secretariat) to Anselmo Dandini, nuncio in France, 1580 (ASV Segr."
debosnys,not solved,,,not read,ciphertext-only,no/not found,"The Debosnys cryptograms, Essex County NY jail, 1882-83 (Schmeh Top 50 no. 3)"
dedem1788,not solved,,,not read,crib,partial/during attempt,"Van Dedem (Constantinople) to Van de Spiegel and the Agent van Staat, 1788-1799 (DECODE R2"
desmarets1710,not solved,,,not read,ciphertext-only,unknown/unknown,"Desmarets to an unnamed correspondent, Marly, 4 June 1710 (DECODE R10198)"
destaing,not solved,,,not read,none,unknown/not found,"D'Estaing to Gérard, Fort Royal (Martinique), 30 April 1779, Clements Library, Clinton Pap"
deswart1782,read with known key,,,read,key from archive,no/not found,"J. I. de Swart (St Petersburg) to P. van Bleiswijk, 8 March 1782, Nationaal Archief 3.01.2"
dinteville1592,not solved,,,not read,crib,no/not found,"Dinteville (Langres) to the Duke of Nevers, 3 July 1592, BnF Français 3621 no. 116 f. 130 "
dubellay,key recovered based on adjacent plaintext,,plaintext both adjacent and external: which one gave the key? | a sibling-key / key-from-source step worked: key may have been in hand | already solved elsewhere: independent re-solution?,already solved,known plaintext,in print/during attempt,"Jean du Bellay (London) to Montmorency, 1528-29, BnF fr. 3077 and fr. 3078 (catalogue item"
ducroc,not solved,,,not read,none,no/not found,"Catherine de Médicis to Philibert du Croc, Saint-Maur, 27 April 1567 (Destray 1924, facsim"
egmond,key recovered from ciphertext-only,,,read,ciphertext-only,online/after reading,"Charles of Egmond, BnF fr. 3015 no. 8"
eichel1758,not applicable,,,not a cipher,key from archive,no/not found,"Cipher sheet from Mr Eichel, 1758, TNA SP 106/7 (DECODE R595)"
enigma,not solved,,,not read,ciphertext-only,no/not found,"""KR Blitz"" Enigma message, OB Oberrhein IIa to OKW, 10 January 1945 (Schmeh 2019; TARGETS "
erving1807,read from existing decipherment,,key rebuilt from the decipherment? then adjacent/external plaintext,already solved,archive decipherment,in print/before attempt,"George W. Erving to James Madison, Madrid, 24 Mar 1807, private No. 21 'in the Cypher of t"
esp318,read with known key,,solver/crib steps worked: key extended or rebuilt?,read in part,published key,partial/during attempt,"BnF Espagnol 318, the five ciphered letters of the Catholic Monarchs' correspondence, 1497"
estrada1503,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read in part,published key,no/before attempt,"Isabella I to the Duke of Estrada, Segovia 20 Aug 1503 (AGS PTR leg. 53 doc. 69; Bergenrot"
fagel1804,not solved,,,not read,ciphertext-only,no/not found,"Robert Fagel (The Hague) to Prince William V, 18 June 1804 (KHA A31 PWV inv. 337; DECODE R"
ferdinand1619,key recovered from ciphertext-only,,,read,ciphertext-only,no/not found,"Ferdinand of Bavaria, Elector of Cologne, to Duke Maximilian I of Bavaria, Bonn, 22 Decemb"
feuquieres,key recovered based on plaintext from external sources,,"plaintext both adjacent and external: which one gave the key? | a sibling-key / key-from-source step worked: key may have been in hand | full prior solution in archive, found before attempt",read,known plaintext,in archive/before attempt,"Feuquières to Catinat, Pignerol, 25 January 1691, in the petit chiffre of the Pignerol gov"
feynman,read with known key,,,already solved,published key,online/before attempt,Feynman ciphers nos. 2 and 3 (1953): verification of David Vierra's 2023 solution
florence1414,not applicable,,,offline only,none,partial/before attempt,"Letters to the Signoria of Florence in the ""Cifra Decemviri di Balìa 1414"" (ASF, Signori r"
florence1429,read with known key,,solver/crib steps worked: key extended or rebuilt?,read,published key,partial/during attempt,"Galeotto Fibindacci da Ricasoli to the Signoria of Florence, Urbino, early 1425 (1424 Flor"
foix1563,key recovered from ciphertext-only,,plaintext recorded (printed edition) | a sibling-key / key-from-source step worked | prior solution used,read in part,ciphertext-only,in print/during attempt,"Coligny to Elizabeth, 12 Jan 1563, and Catherine de' Medici to Paul de Foix, 15 Jan 1563, "
forster,read with known key,,solver/crib steps worked: key extended or rebuilt?,already solved,published key,online/unknown,"Sir Richard Forster, 13 May 1644, Archives départementales du Val-d'Oise 68.H.8, 3e liasse"
fr3029,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,online/before attempt,"Ciphered letters filed with La Tremoille's papers, BnF fr. 3029 (DECODE R3666-R3687)"
fr3029f134,read with known key,,,read,published key,online/before attempt,"Unknown sender to the King (Francis I), BnF fr. 3029 ff. 134-135, no. 59 (DECODE R3670)"
fr3092,read with known key,,,read,published key,online/before attempt,"Three 'Mémoires chiffrés', BnF fr. 3092 ff. 101-107 (DECODE R3699-R3701)"
geertruidenberg,not applicable,,,offline only,none,no/not found,Torcy to the plenipotentiaries at Geertruidenberg (3 Apr 1710) and Villars to Polignac (1 
goertz1717,not solved,,,not read,ciphertext-only,unknown/not found,"Görtz peace memorandum, 1717, cipher passages (KB Stockholm I.g.18, DECODE R4350)"
gonzaga1590,read with known key,,solver/crib steps worked: key extended or rebuilt?,read,key from archive,no/not found,"Vincenzo I Gonzaga, Duke of Mantua, to Louis de Gonzague, duc de Nevers, 17 Sept 1590 (BnF"
goring1645,read with known key,,,already solved,published key,online/before attempt,"Unknown sender ('Yorke') to General Goring, 5 June 1645, TNA SP 106/10 ff. 251-252 (DECODE"
gramont1529,read with known key,,,read,published key,partial/after reading,"Gramont, Mâcon and Langeac to Montmorency, 1529-1537, BnF fr. 3083 no. 8, fr. 3091 no. 23,"
guiche1551,key recovered from ciphertext-only,,plaintext recorded (margin),read in part,ciphertext-only,no/unknown,"La Guiche (Rome 1551), Noailles (Venice 1558), Seure (Lisbon 1558): BnF fr. 3138 no. 22, f"
guise1587,read with known key,,solver/crib steps worked: key extended or rebuilt?,read,published key,partial/before attempt,"Guise? to the duc de Mercœur, 27 May and 20 June 1587, BnF fr. 15564 ff. 119 and 142 (DECO"
haga1620,read with known key,,,read,key from archive,no/not found,"Cornelis Haga (Constantinople) to the States General, Feb-May 1620, NA The Hague 1.01.02 i"
hamilton,not applicable,,,offline only,none,no/not found,"Charles II to the Duke of Hamilton, Aug-Sept 1650 (NRS GD406/1/10573-10576)"
hamilton1569,read from existing decipherment,,,already solved,archive decipherment,in print/before attempt,"Mary Queen of Scots to John Hamilton, Archbishop of St Andrews, Bolton, 18 January 1569, B"
harley1582r8499,read with known key,,solver/crib steps worked: key extended or rebuilt?,read in part,key from archive,in archive/during attempt,"Nicholas Wotton to Queen Mary, June 1554 (BL Harley MS 1582 ff. 8-10; DECODE R8499)"
harley1582r8500,read after matching with key from external sources,,,read,sibling key,no/during attempt,"Sir Edward Stafford (Paris) to [Walsingham], 20 August 1586 (BL Harley MS 1582 ff. 65-66; "
harley1582r8504,read after matching with key from external sources,,,read,sibling key,no/during attempt,"Sir Edward Stafford to [Walsingham], 9 November 1586 (BL Harley MS 1582 ff. 76-77; DECODE "
harley1582r8505,key recovered from ciphertext-only,,,read,ciphertext-only,no/not found,"""L'Estat du Roy de Navarre et de son party en France"", BL Harley MS 1582 ff. 263-264 (DECO"
harley286,key recovered based on adjacent plaintext,,,read,crib,no/not found,"Sir Simonds D'Ewes, cipher log of his son Clopton's convulsion fits, 1635-36, BL Harley MS"
harley287,key recovered based on adjacent plaintext,,,read in part,crib,no/not found,"Lord Cobham (Ostend) to Walsingham, 20-22 March 1587/8, BL Harley MS 287 ff. 70-72 (DECODE"
harley6345,not applicable,,,not a cipher,none,in print/during attempt,Harley MS 6345: English ambassadors with Charles V (1523) and Wolsey to Sampson (1524) (DE
harley7001,read with known key,,,read in part,key from archive,no/during attempt,"Robert Reade (Paris) to his cousin, 19 April 1641 (BL Harley MS 7001 ff. 148-149; DECODE R"
heidelberg597,read from existing decipherment,,key rebuilt from the decipherment? then adjacent/external plaintext,already solved,archive decipherment,in print/unknown,"Alchymey teuczsch, alchemical recipe book, East Bavaria 1426, Heidelberg Cod. Pal. germ. 5"
hellen1752,not solved,,,not read,ciphertext-only,unknown/not found,"W.B. von der Hellen (The Hague) to Frederick II, intercepted reports 1752-1763 (KHA Prins "
henter1707,read from existing decipherment,,,already solved,archive decipherment,in archive/during attempt,"Mihály Hentér to Ferenc Rákóczi II, 8 July 1707"
herbault1626,read from existing decipherment,,,already solved,archive decipherment,in archive/during attempt,"Phelipeaux d'Herbault (Paris) to Philippe de Béthune (Rome), 13 February 1626, BnF fr. 366"
hereditary1796,key recovered based on plaintext from external sources,,plaintext both adjacent and external: which one gave the key? | a sibling-key / key-from-source step worked: key may have been in hand,read,known plaintext,partial/during attempt,"The Hereditary Prince (Berlin) to Prince Frederik, 12 March 1796 (KHA Prins Willem V inv. "
hernannunez1674,read after matching with key from external sources,,,read,sibling key,partial/before attempt,"Hernán Núñez (Stockholm) to Fuenmayor (Copenhagen), December 1674, DECODE R1012-R1015"
hesse1603,read with known key,,,read,published key,partial/before attempt,"Henri IV to Landgrave Maurice of Hesse-Kassel, ciphered passages printed in Rommel 1840"
heusner1637,read with known key,,,already solved,published key,online/before attempt,"Sigismund Heusner von Wandersleben to Axel Oxenstierna, Kassel, 15 May 1637, Riksarkivet ("
hm1645,read with known key,,,already solved,published key,online/before attempt,"Henrietta Maria's household to Charles I, 1645-46, TNA SP 106/10 (DECODE R785, R787, R790,"
hyde,not applicable,,,not a cipher,published key,in print/during attempt,"Hyde's ciphered superscriptions on letters to John Barwick, Brussels 1659-1660"
isabella1531,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/before attempt,"AGS Estado leg. 496, DECODE R9955 (Charles V to Isabella, Regensburg 30 Apr 1532) and R995"
it1583,not solved,,,not read,ciphertext-only,unknown/not found,"Sforza side to Giorgio (Zorzo) del Maino, reply, 4 May 1446 (BnF italien 1583 f. 68; DECOD"
jantini1517,not solved,,,not read,ciphertext-only,unknown/not found,"Benedetto Fantini (DECODE 'Jantini'), Buda and Eger, to the Este court, 1517-1518 (ASMo, A"
joachim1530,key recovered from ciphertext-only,,,read,ciphertext-only,no/not found,"Passano, London to Francis I, March 1530: surviving Wolsey account deciphered"
jones1753,not applicable,,,not a cipher,none,no/not found,"C. Ben. Schaeblin (The Hague) to Mr Jones, 16 January 1753, BL Add MS 32256 f. 235 (DECODE"
joyeuse,not solved,,,not read,ciphertext-only,no/not found,"Cardinal de Joyeuse to Villars, Rome, 15 February 1594, BnF 500 de Colbert 33 f. 539"
jqa,key recovered based on adjacent plaintext,,a sibling-key / key-from-source step worked: key may have been in hand,read,known plaintext,no/not found,"John Quincy Adams to the Secretary of State, St Petersburg, No. 88, 25 June 1812: the pass"
kaa4591,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read in part,key from archive,partial/before attempt,BayHStA Kurbayern Äußeres Archiv 4591: fourteen ciphertexts bound in the Bavarian ducal ke
kaa4591b,key recovered based on adjacent plaintext,,a sibling-key / key-from-source step worked: key may have been in hand,read in part,crib,partial/before attempt,"BayHStA Kurbayern Äußeres Archiv 4591: three ciphertexts to the Bavarian court, 1531-1537 "
kaliningrad,not solved,,,not read,none,no/not found,"Kaliningrad (Baltiysk) bottle post, found 2015 (Schmeh Top 50 no. 19)"
kauderbach1754,read after matching with key from external sources,,,read,sibling key,no/unknown,"Johann Heinrich Kauderbach (The Hague) to Dresden, 1754-56, intercepted despatches with pa"
kurtz1639,key recovered based on adjacent plaintext,,,read in part,known plaintext,partial/before attempt,"Kurz von Senftenau (Hamburg) to Trauttmansdorff, 1638-39, DECODE R3811-R4736"
labbe1582,not solved,,,not read,crib,unknown/not found,"Desiderio l’Abbé to Nevers, Prague and Breslau, 1577"
lanssac,key recovered based on adjacent plaintext,,,read,crib,partial/before attempt,"Lanssac to Charles IX, Warsaw, 26 April 1573, BnF fr. 4735 no. 51 f. 124, and the sibling "
lebel1593,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched?",read,published key,partial/during attempt,"Lebel (Paris) to Charles Emmanuel I of Savoy, 17 Jan, 10 and 27 Mar 1593 (BnF fr. 3983 nos"
lee1526,read from existing decipherment,,key rebuilt from the decipherment? then adjacent/external plaintext,already solved,archive decipherment,in archive/during attempt,"Edward Lee (and Ghinucci) to Wolsey from Spain, 1526-1529 (BL Cotton MS Vespasian C III-C "
letellier,not solved,,,not read,sibling key,no/not found,"Le Tellier to the Marquis de Castelnau, 12 May 1657"
lodi1584,read from existing decipherment,,,already solved,archive decipherment,in archive/during attempt,"Sir Francis Englefield to the Cardinal of Como, Madrid, 15 Nov 1584 (ASV Segr. Stato, Spag"
loeschnen1816,not applicable,,,not a cipher,none,no/not found,"W. Loeschner, Vienna, 1 July 1816: memorandum on the Staatskanzlei cipher instruction (DEC"
lomer1563,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/during attempt,"John Somer (""Mr. Lomer"") to Secretary Cecil, Paris, 9 December 1563, BL Add MS 4136 ff. 13"
lopehurtado,key recovered based on adjacent plaintext,,plaintext both adjacent and external: which one gave the key? | a sibling-key / key-from-source step worked: key may have been in hand,read in part,crib,no/not found,"Lope Hurtado de Mendoza (Rome) to Charles V, 1522 — RAH Salazar 9/26, DECODE R9634–R9656"
lopehurtado1523,key recovered based on adjacent plaintext,,plaintext both adjacent and external: which one gave the key?,read in part,crib,partial/before attempt,"Lope Hurtado de Mendoza (Rome) to Charles V, May 1523 - Mar 1524 - RAH Salazar 9/28 and 9/"
lorraine1592,key recovered from ciphertext-only,,,read in part,ciphertext-only,no/not found,"Charles III of Lorraine to the comte de Vaudémont, Nancy, 18 June 1592, BnF fr. 3621 no. 9"
louis1615,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,online/before attempt,"Louis XIII to Melchior de Sabran (1631) and to Brulart de Leon (1615, 1617), BnF Baluze 15"
lucca,key recovered based on adjacent plaintext,,crib source not recorded,read,crib,partial/before attempt,"Fra Giovanni di Lucca to Ferdinand III, 30 May 1644 (DECODE R2159, ÖStA HHStA Staatskanzle"
lucini1767,read with known key,,,read,published key,partial/before attempt,"Nuncio Cesare Alberico Lucini (Madrid) to the Secretariat of State, 13 Oct 1767 (AAV Segr."
mai1531,read from existing decipherment,,,already solved,archive decipherment,in archive/before attempt,"Micer Mai (Rome) to the Comendador Mayor de León, 12 Sept 1531, AGS Estado leg. 853 fol. 8"
maisse1592,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read,published key,partial/during attempt,"Henri IV to Andre Hurault de Maisse, ambassador at Venice, 3 November 1592 - 27 April 1593"
malvezzi1548,read after matching with key from external sources,,,read in part,sibling key,in print/not found,"Ferdinand I to Johann Malvezzi, Augsburg, 23 January 1548 (DECODE R366)"
marburg1635,key recovered from ciphertext-only,,plaintext recorded (interlinear) | prior solution used,read,ciphertext-only,partial/during attempt,"Cipher passage in a German report to Hesse-Kassel, Thirty Years' War (HStAM 4 d Nr. 1218 n"
marechaux1520,read with known key,,,read,published key,online/before attempt,"Cardinal Campeggio's conclave articles for Francis I, c. 1534 (BnF fr. 3081 ff. 41-42, DEC"
maria1435,not solved,,,not read,crib,no/not found,"Queen María of Castile to Alfonso V, Valencia, 5 Aug 1435, ACA Cancillería reg. 3225 f. 59"
matignon1586,read with known key,,solver/crib steps worked: key extended or rebuilt?,read in part,published key,partial/before attempt,"Forget / Mayenne / Matignon despatches of 1585-86 in Mayenne-Forget Cipher-1, BnF fr. 1557"
matthias1482,read from existing decipherment,,key rebuilt from the decipherment? then adjacent/external plaintext,already solved,archive decipherment,in print/unknown,"Matthias Corvinus to Ercole I d'Este, Pozsony, 1 June 1482, ASMo CPE 1622 b. 1/3 nos. 2, 2"
mellon136,read with known key,,,read,key from archive,partial/during attempt,"Das zweyte Silentium Dei (pseudo-Johann Arndt), cipher passages, Glücksbrunn 1798 (Beineck"
mellon29,not solved,,,not read,ciphertext-only,no/not found,"Pseudo-Elias of Cortona, Lumen luminum, cipher recipes and zodiac table, North Italy c. 15"
memoire1560,key recovered from ciphertext-only,,,read,ciphertext-only,no/not found,Mémoire en chiffre du XIIe décembre 1560: anonymous report from the Agenais to Montmorency
mendoza1589,key recovered based on adjacent plaintext,,a sibling-key / key-from-source step worked: key may have been in hand | already solved elsewhere: independent re-solution?,already solved,known plaintext,in archive/during attempt,"Philip II to Bernardino de Mendoza, San Lorenzo, 7 September 1589, the two letters of BnF "
mercoeur1586,not solved,,,not read,ciphertext-only,no/before attempt,"Anonymous ('MR') to the duc de Mercœur, 26 June [c. 1586], BnF fr. 15564 f. 151 (catalogue"
mercoeur1587,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read,published key,partial/before attempt,"[Henri, duc de Guise] to the duc de Mercœur, 16 April 1587, BnF fr. 15564 f. 78 (DECODE R4"
michell1751,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/during attempt,"Frederick II to Louis Michell (London), Berlin 28 Dec 1751, KHA Prins Willem V inv. 198 (D"
