line	transcribed_sign_units	grade	normalized_reading	source_transcription
153v.09	35	I	lesquelles il y a ordinairement ministres	WxnnTzoxW.Wxnn y + yshir+isxppxrQ pp4rdnnQs3xm
153v.10	30	I	predicans, au presche desquels il a	Hs3xhif+rm +zo Hs3xnnfgx hxnnTzoxW3 bcx +
153v.11	24	I	assisté et luy present se y est	Dmm4mQx c+ Wzoy Hs3xmxrQ mx y xnnQ
153v.12	30	I	faict assemblee de rebelles. S'il est	7+ifQ DnnmxppdWxx hx s3xdxWWxm m4W xmQ
153v.13	29	I	ouy sur lesdicts faicts, je ne scay	:.zoy nnzos WxnnhifQ3 7+ifQ3 4x rx mif+y
153v.14	29	I	quelle raison il pourra rendre du	TzoxWWx s+dnn:.r bcx H:.zoss+ sxrhsx hio
153v.15	27	I	debvoir de justice qu'il y a faict.	hxdzo:.is hx 4zomQifx TzoiW y + 7+ifQ
153v.16	33	I	Monsieur de Biron, puis ung mois, il fist	pp:.rm4xios hx zoDs:.r Hzoym zord pp:.rnn bcx 7dnnQ
153v.17	35	I	une assemblee d'environ cinq cens soldats,	zorx +nnnnxppdWxx hxrio4s:.r f4rT fxrm m:.Wh+Q3
153v.18	32	I	la pluspart arcabousiers, lesquels il	W+ HWzomH+sQ +s3f+d:.m4xs3m WxnnTzoxW3 bcx
153v.19	33	I	disoit vouloir conduire suivant le	hz4nn:.iQ zo:.zoiWW:.is f:.rhioys3x mzoyio+rQ Wx
153v.20	26	I	commandement du roy en la ville de	f:.pppp+rhxppxrQ hio 4 ffr W+ zoiWWx hx
153v.21	35	I	Bregeyrac pour gaigner le chasteau d'icelle	dsxdxys+f Z d+idrxs Wx  fg+nnQx+zo lzifxWWx
153v.22	30	I	et executer sur les habitans quelque	c+ x3xfzoQxs mzos Wxm g+diQ+rnn TzoxWTzox
153v.23	30	I	commandement que sa majesté l'avoit	f:.pppp+rhxppxrQ Tzox nn+ pp+SxmQx W+zo:.iQ
153v.24	33	I	chargé. Toutesfois, ayant faict ladicte	fg+sdx Q:.zoQxnn7:.cnn +y+rQ 7+ifQ W+hifQx
153v.25	31	I	assemblee, apres avoir communiqué aux	+nnnnxppdWxx DHs3xm +zo:.s f:.ppppzor4Tzox +zo3
153v.26	37	I	principaulx habitans dudict Bregerac, il	Hs4rfiH+zoW3 g+diQ+rm hriolhifQ ds3d3s+f bcx
153v.27	29	I	en renvoya lesdicts soldats et s'en	ffr sxrio:y+ WxnnhifQ3 m:.WhiQ3 c+ nnxr s3
153v.28	30	I	retourna en sa maison sans faire aultre	sxQ:.zosr+ xr nn+ pp+ynn:.r nn+rm on czoWQsx
153v.29	34	I	execution, chose qui ne donne a presumer	dx3xfzoQi:.r fg:.mx sr rx h:.rrx + Hsxmizoppxs
154r.01	30	I	rien de bon pour les abus que se y peuvent	s4xr hx d:.r Z Wxm Ddiom Tzox nnxy HxzoioxrQ
154r.02	30	I	commectre, deaultant qu'il a faict le	f:.ppppxfQs3x hx+ioWQ+rQ TzoiW D 7+ifQ Wx
154r.03	36	I	semblable a Villeneufve, Montflanquin et	nnxppdW+dWx D zo4WWxrxzo7zoff pp:.rQ7W+4rTzo4r ?+
154r.04	31	I	aultres villes suspectes de pardeça.	czoWQs3xm zo4WWxm nnzonnHxfQxm hx H+shxf+
154r.05	28	I	Je ne scay s'il a faict ses choses du	fa rx mf+y m4W + 7+ifQ nnxm fg:.mxm hio
154r.06	25	I	mandement du roy ou vostre; je n'ay	pp+rhxppxrQ hio 4 :.zo zo:.mQs3x fa r+y
154r.07	37	I	voullu faillir vous en donner advertissement,	zo:.WWxzo 7+iWWis3 dc rx h:.rrxs3 s+hioxsQDmmxppxQ
154r.08	33	I	pour ce que despuis qu'il a eu parlementé	H:.zos4x Tzox hxnnHzoynn TzoiW + xzo H+sW+ppxrQx
154r.09	23	I	avecques eulx, ils ne se sont	DzoxfTzoxnn xzoW3  fie rff nnx nn:.rQ
154r.10	29	I	amendés aulcunement, ains sont pis	Dppxrhxm DzoWfzorxppxrQ D4rm nn:.rQ Hynn
154r.11	9	I	que jamais.	Tzox 7+pp?dnn
154r.12	25	I	Aussi je ne scay si le roy et vostre	Dzonnm4 fa rx mf+y m4 Wx 4 c+ zo:.nnQs3x
154r.13	31	I	grandeur estes advertis que ledict sieur	S+rhxzos xmQ3xnn +hioxsQ4m Tzox WxhifQ Z
154r.14	27	I	de Biron est allié de Mesme qu'est	hx dis:.r xmQ DWWyx hx ppxmppe TzoxnnQ
154r.15	30	I	ung des principaulx cappitaines des	zord hxm Hs4fiH+zoW3 f+HH4Q+4rxm hxm
154r.16	16	I	rebelles de pardeça.	s3dxWWxm hx H+shxf+
154r.17	31	I	Ledict Mesme, le cappitaine La Caze, le	WxhifQ ppxmppe Wx f+HH4Q+4rx W+ f+zox Wx
154r.18	35	I	cappitaine Jehan de Mesmes, le cappitaine	f+HH4Q+drx 4xg+r hx ppxmppxnn Wx f+HH4Q+drx
154r.19	32	I	La Garde de Villeneufve, le cappitaine	W+ d4shx hx zo4WWxrx zo7zox Wx f+HH4Q+4rx
154r.20	33	I	Chaulmont et aultres chiefs des rebelles,	fg+zoWpp:.rQ c+ DzoWQs3xm fgix73 hxm s3dxWWxm
154r.21	29	I	dont cy devant vous ay envoyé leurs noms,	h:.rQ fyhxio+rQ dc +y xrio:.yx Wxzos h:.pp
154r.22	28	I	sont pardeça faisant leurs menees	nn:.rQ Sphxf+ 7+dnn+rQ Wxzosnn ppxrxffnn
154r.23	30	I	accoustumees, residans la pluspart du	Df:.nnQzoppxffnn s3xnndh+rnn W+ HWzomH+sQ hio
154r.24	28	I	temps en la ville de Nerac; mesmes	QxppHnn xr W+ zo4WWx hx rxs4+f ppxnnppxnn
154r.25	29	I	ledict Mesme y est a present malade	WxhifQ ppxmppe y xmQ DHs3xmxrQ pp+W+hx
154r.26	27	I	et se est faict conduire dans une	c+ mx xnnQ 7+ifQ f:.rhioys3x ?h+rnn zorx
154r.27	22	I	lectiere puis huict jours.	WxfQixs3x Hzoym gzo.fQ 4:.zosnn
154r.28	33	I	Si vostre grandeur trouvoit bon que, pendent	m4 zo:.mQs3x S+rhxzos Qs:.zoio:.Q d:.r f HxrhxrQ
154r.29	36	I	que le chief est pardela et qu'il se veult dire	Tzox Wx fgix7 xmQ H+shxW+ c+ TzoiW nnx zoxzoWQ his3x
154v.01	33	I	innocent de la conspiration, que le roy leur	Ddr:fxrQ hx W+ f:mHDS+Qi:r Tzox Wx 4 Wzoxs
154v.02	34	I	commandast de representer les susdicts	f:pp+rh+nnQ hx SxHSxmxrQxS Wxm mzomihxfQ3
154v.03	43	I	cappitaines pour les faire respondre par leur bouche, attendu	+HHiQ+irxm Z WxmJn SxmH:rhSx Q Wxzos d:zofgx DQQxrhn
154v.04	37	I	mesmes qu'ils ont residé cy devant aupres de la	ppxmippxm Dd 3xrQ SxmDhx fxhxio+rQ +ioHSxm hx W+
154v.05	34	I	personne dudict chief et suite de sa court	HxSnn:rrx hiohifQ fgix7 i+ nnzoxQx hff m+ f:zoSQ
154v.06	28	I	en son gouvernement de Guyenne, et	ffr m:r d:zoioxSrxppxrQ hx dzoxxrrx 3+
154v.07	32	I	resident a present en sa ville de Nerac	SxmdhxrQ DHSxmxrQ ffr m+ zoDWWx hx rxS+f
154v.08	28	I	la pluspart du temps. Si sa majesté	W+ HWzomH+SQ hio QxppHm mD m+ pp+dxmQx
154v.09	33	I	faict ledict commandement, ce sera bien	7+ifQ WxhifQ f:pppp+rhxppxrQ mx mxS+ Jixr
154v.10	29	I	le moyen de les pouvoir recouvrer,	Wx pp3xoxr hx Wxm H:zoio:is Sxf:zoioSxs
154v.11	32	I	aultrement il sera tresque difficil.	DzoWQSxppxrQ bex mxS+ QSxmTzox h.77DfiW
154v.12	35	I	Ayants recouvertz les susdicts cappitaines,	Dx+rQ3 Sxf:zoioxSQ3 Wxm mzomhxfQ3 f+HHiQ+x
154v.13	31	I	ou pour le moins de la trouppe d'iceulx	dxzo Zs Wx pp:Dxd3 hx W+ QS:zoHHx hifxzoW3
154v.14	26	I	La Caze et Mesme, le roy pourra scavoir	W+ f+zox i+ ppxmippd Wx 4 3S+ smf+zoiS
154v.15	32	I	par la entierement les conspirations	H+SW+ xrQDxSxppxrQ Wxm f:rmHDS+Qi:rm
154v.16	28	I	et entreprinses faictes contre sa	i+ xrQSxHSDrmxm 7+ifQxm f:rQSxm+
154v.17	19	I	majesté et son royaulme.	pp+dxmQx C m:r S:x+zoWppx
154v.18	33	I	Monsieur de Lioux, frere du sieur de Montluc,	pp:rmDxzos hx Wd:zo3 7S+iSx hio F hx pp:rQWzof
154v.19	32	I	s'en va en court. Il est composé de mesme	mxr zo+ xr f:zoSQ bex xmQ f3ppH:mx hx ppxmppx
154v.20	36	I	humeur que beaucoup d'aultres qui veullent	gzoppxzos Tzox Jx+zof:zoH h+zoWQSxm Tzox zoxioWWxrQ
154v.21	29	I	servir le roy masqués. Je vous en ay donné	nnxSzoiS Wx 4 pp+mTzoxm fa Je xr +x h:rrx
154v.22	32	I	cy devant advertissement, et croy que le	fxhxio+rQ +hioxSQDmmxppxrQ 3+ fzox Tzox Wx
154v.23	26	I	roy et vostre grandeur ne vous y fierés	4 i+ zomQSx dS+rhxzoS rx Je x 7ixSx3
154v.24	28	I	et aurés entendu leurs menees et	C+ DzoSx3 SxrQffrhio WxzoSm ppxrxfSm i+
154v.25	8	I	factions.	7+fQi:rm
154v.26	30	I	Ledict de Lioux, pendent qu'il estoit	WxhifQ hx Wixzo3 HxrhxrQ TzoiW xmQ:iQ
154v.27	31	I	pardeça, a faict de grands menasses a	H+Shxf+ + 7+ifQ hx dS+rh3 ppxr+nnmixm D
155r.01	30	I	ceulx qui font service au roy, disant	fxzoWz Tzod 7:rQ mxSzoDmmx +zo 4 hJmm+rQ
155r.02	31	I	qu'il n'a personne qu'aye parlé contre	TzoiW xW+ HxSm:rrx Tzo+ex H+SWx f:rQSx
155r.03	31	I	le chief qu'avant peu de temps ne luy	Wx fgix7 Tzox Dio+rQ Hxzo hx QxppHm rx Wzoex
155r.04	11	I	couste la vie,	f:zomQx W+ zoex
155r.05	30	I	Et de pareilles menasses et parolles	C+ hx H+SxiWWxm ppxr+mmxm i+ H+S:WWxm
155r.06	35	I	usent touts ceulx de la compaignie dudict	zomxrQ Q:zoQ3 fxioWz hx W+ f:ppH+idrDx hiohifQ
155r.07	36	I	chief, mesmes ceulx qui l'avoient acompaigné	fgix7 ppxmppxm fxzoWz Se W+zo:exrQ +f:ppH+idrx
155r.08	29	I	a son voiaige de court, lesquels s'en	Dm:r zo:e+idx hx f:zoSQ WxmTzoxW3 mxr
155r.09	32	I	sont retournés de pardeça et faisant	mxrQ SxQ:zoSrxm hx H+Shxf+ C+ 7+Jmm+rQ
155r.10	27	I	leur monstre dernier en la ville	Wxzos pp:zomQSx hxSrDxs xr W+ zoiWWx
155r.11	33	I	d'Agen tenoient publiquement lesdicts	h+dxr Qxr:exrQ HzodWDTzoxppxrQ WxmhifQ3
155r.12	8	I	langaiges.	W+xdhdxm
155r.13	27	I	Il se font assemblees touts les	bex mx 7:rQ +mmxppdWxffm Q:zoQ3 Wxm
155r.14	37	I	jours de rebelles, de la pluspart desquelles	D:zoSm hx SxdxWWxm hxW+ HWzonnH+SQ hxmTzoxWWxm
155r.15	33	I	le cappitaine La Caze est le conducteur	Wx f+HHDQ+Drx W+ f+zox xmQ Wx f:rhiofQxioS
155r.16	25	I	et chief. Si le roy n'envoie quelcun	i+ fgix7 mD Wx  4 rxrio:ex TzoxWfzox
155r.17	28	I	pardeça pour les chastier, je ne faicts	H+Shxf+ Z Wxm fg+mQrS fa Cx 7+ifQ3
155r.18	34	I	doubte qu'il n'y aye quelque grand trouble	h:zodQx TzoiW rx +ex TzoxWTzox dS+rh QS:zodWx
155r.19	24	I	ou inconvenient a l'advenir.	:zo Drf:rioxrexrQ J DW+hioxxeS
155r.20	31	I	Lesdicts rebelles m'ont rendu en tel	WxmhifQ3 SxdxWWxm pp:rQ Sxrhxio xr QxW
155r.21	26	I	estat que je n'ause sortir de ma	xmQ+Q Tzox fa x+zomx m:zoSQiS hx pp+
155r.22	25	I	maison si ce n'est de nuict, et font	pp+Jnn:r mD fx rxmQ hx rzofQ e+ 7:rQ
155r.23	34	I	courir le bruict que monsieur de Termes	f:zoSiS Wx dSzoifQ Tzox pp:rmidxzoS hx QxSppxm
155r.24	22	I	et ses compaignies que l'on	i+ mxm f:ppH+Ddrixm   Tzox W:xm
155r.25	31	I	disoit qui venoient pardeça ont esté	hDm:iQ Tzox zoxr:exrQ H+Shxf+ :rQ xmQx
155r.26	30	I	contramandes pour s'en retourner, chose	f:rQS+pp+rhxm Z mxr SxQ:zoSrxS fg:mx
155r.27	25	I	qu'a donné ung grand plaisir et	Tzo+ h:rrx zord dS+rh HW+JnndS :P
155r.28	27	I	contentament ausdicts rebelles	f:rQxrQ+ppffrQ +zomhifQ3 SdxiWxm
155r.29	27	I	et pour continuer leurs factions.	x+i+ S Z f:rQirzoxS WxzoSm 7+fQi?m
155v.01	31	I	Si ainsi estoit, et pensant que vostre	nnD +ppinnDx xnn Q:iQ i+ Hxrnn+rQ Tzox zo:nnQSx
155v.02	28	I	grandeur ne le trouvast mauvais, pour	dS+rhxzoS xr Wx QS:zoio+ nnQ pp+ Wzo+dnn Z
155v.03	25	I	la conservation de ma vie je me	W+ f:rmxSio+Qi:r hx pp+ zoDx Dx ppx
155v.04	28	I	retirerois a la suicte de la court	SxQDSxS:Dm DW+ nnzoifQx hx W+ f:zoSQ
155v.05	27	I	pour illec m'emploier en treshumble	Z DWWxf ppxppHW:ixS xr QSxnngzoppdWx
155v.06	24	I	obeissance a tout ce que le roy	:dxdminn+rfx D Q:zoQ fx Tzox Wx 4
155v.07	25	I	et vostre grandeur vous plairoit	i+ zo:nnQSx dS+rhxzoS Je HW+iS:iQ
155v.08	25	I	me faire commander, car aussi bien,	ppx Jn f:pppp+rhxS f+S DzonnnnD dixr
155v.09	31	I	ayant lesdicts rebelles l'auctorité	Dx+rQ WxnnhifQ3 SxdxWWxm W+zofQ:S7Qx
155v.10	30	I	de pardeça telle qu'ils l'ont, m'ont osté	hx H+Shxf+ QxWWx feS W:rQ pp:rQ :zomQx
155v.11	30	I	touts moyens de pouvoir pourveoir	Q:zoQ3 pp:xxrm hx H:zoio:iS H:zoSzox:iS s
155v.12	31	I	aulcunement a mes affaires si ce n'est	DzoWfzorxppxrQ + ppxm +77+iSxm mD fx rxmQ
155v.13	14	I	au hasard de ma vie.	+W+3+sh hx pp+ zoDx
155v.14	31	I	Lesdicts rebelles continuent et font	WxnnhifQ3 SxdxWWxnn f:rQDrzoxrQ i+ 7:rQ
155v.15	36	I	journellement de nouvelles compositions	D:zoSrxWWxppxrQ hx r:zoioxWWxm f:ppH:nnDQixrm
155v.16	36	I	qu'ils sement et envoyent par tout ce pays	feS mixppxrQxppxm i+ xrio:xxrQ H+S Q:zoQ fx H+xm
155v.17	29	I	pour oster le menu peuple de leur	H:zoS 3xrnnQxS Wx ppxrio HxzoHWx hx WxzoS
155v.18	31	I	bonne voye et les rendre scismaticques,	dxrrx zo:xx i+ Wxnn SxrhSx nndnnpp+QifTzoxnn
155v.19	30	I	comme vostre grandeur pourra veoir	f:ppppx zo:nnQSx dS+rhxzoS H:zosS4 zox3iS
