code	value	source	confidence
362	la (362.426 la somme; 362.413 la resolution; confirms 362.254 la paix)	fr.3984 canvas 339 ll.8,12,13; canvas 340 l.19	H
426	somme (362.426.280 la somme de)	fr.3984 canvas 339 ll.8,12,13	H
323	comme (confirmed: 323.368.252.457 comme m'a dict le duc de Feria)	fr.3984 canvas 339 l.10	H
368	m'a (?)	fr.3984 canvas 339 l.10	C
252	dict	fr.3984 canvas 339 l.10	C
457	le duc de Feria	fr.3984 canvas 339 l.10	H
431	tant (431 tant; 431.342 tant en)	fr.3984 canvas 339 ll.10,22	C
108	par (108.114.108 par eulx par; 129.108 donner par)	fr.3984 canvas 339 ll.13,20	H
114	eulx	fr.3984 canvas 339 l.13	H
422	se (26.422.349 le s. du Mayne s'estoit)	fr.3984 canvas 339 l.14	C
400	promettre (s'estoit faict 400)	fr.3984 canvas 339 l.14	C
251	faict / fait (251 faict, several; the "faut" gloss in l.2 is the same word)	fr.3984 canvas 339 ll.2,14,16,20; canvas 340 ll.3,15	H
331	disoit	fr.3984 canvas 339 l.16	H
109	promettoit (?) (luy 109)	fr.3984 canvas 339 l.18	C
257	faveur (342.257.280.24 gloss "en la faveur de l'Infante"); "faire 257" = faire faveur? cf. earlier parvenir	fr.3984 canvas 339 l.21	H
129	donner (confirmed, il a fait 129 par declaration)	fr.3984 canvas 339 l.20	H
42	(duc de) Guise (42.112.12.251 gloss "et duc de Guise il a fait"; 83.42 Mr de Guise)	fr.3984 canvas 339 l.20; canvas 340 l.21	H
83	Monsieur (83.42 gloss "Mr de Guise")	fr.3984 canvas 340 l.21	C
85	Monsieur (85.64.170 gloss "Mr le cardinal", then 71 Pelve)	fr.3984 canvas 340 l.15	C
64	le (85.64.170 Mr le cardinal)	fr.3984 canvas 340 l.15	C
170	cardinal (85.64.170 Mr le cardinal)	fr.3984 canvas 340 l.15	C
113	celuy (113.12.251 .. 113.105 gloss "a faict a este celuy faire"; the earlier row "115 celuy" is this 113)	fr.3984 canvas 340 l.3	H
413	resolution (362.413.280.26 la resolution de Mr du Mayne)	fr.3984 canvas 340 l.19	H
292	promesse (362.292 la promesse)	fr.3984 canvas 340 l.20	C
398	pouvoir (110.398 pour pouvoir [resister])	fr.3984 canvas 340 l.23	C
327	(conflict: gloss "Espagnolz" over 226.327 ooo, l.15; but gloss "des Francois" over 327 in l.21 choisir .. 327.83.42 = [Roy des] Francois Mr de Guise). Unresolved	fr.3984 canvas 340 ll.15,21	?
368	ma (110.368.408 gloss "pour ma part"; replaces the "m'a" guess)	BnF esp. 336 no.81 f.159r (4 July 1593) canvas 270 l.9	H
408	part (?) (gloss "pour ma part")	esp. 336 canvas 270 l.9	C
359	ils (?) (409.359 gloss "qu'ils n'ont")	esp. 336 canvas 270 l.9	C
383	ne (?) (409.26.383 gloss "que Mr du Mayne ne ...")	esp. 336 canvas 270 l.13	C
250	tout (confirmed again, "a tout")	esp. 336 canvas 270 l.14	H
